date,halving_era,open,high,low,close,daily_change,daily_pct_change,daily_range,ma_7,ma_30,ma_200,volatility_30d,macd,macd_signal,rsi_14,is_interpolated,move_class,rsi_zone,range_band,trend,close_minmax,close_zscore,pct_zscore,range_pct
2011-02-11,Genesis Era (50 BTC/block),0.9803,1.09,0.9264,1.07,0.0897000000000001,9.15026012445171,0.1636,0.966857142857143,0.5800166666666667,0.2200696499999999,10.870883800393733,0.1726613674551169,0.1362905410074797,77.87087783967587,False,Large Rise,Overbought,High,Above 200-MA,3.115704813971651e-06,-0.6978286012835848,1.309748042255103,16.68876874426196
2011-02-12,Genesis Era (50 BTC/block),1.07,1.08,0.9906,1.08,0.01,0.9345794392523372,0.0894,0.989714285714286,0.60543,0.22516965,10.852666190580791,0.1773473119525461,0.144501895196493,78.18232917213122,False,Flat,Overbought,High,Above 200-MA,3.1955946809965653e-06,-0.6978282727860233,0.08834718270904802,8.355140186915886
2011-02-13,Genesis Era (50 BTC/block),1.08,1.08,1.02,1.05,-0.03,-2.77777777777778,0.06,1.0111857142857144,0.6270966666666666,0.23012515,10.15645995406021,0.1766044216077678,0.150922400478748,74.78193964090423,False,Fall,Overbought,Medium,Above 200-MA,2.955925079921823e-06,-0.6978292582787079,-0.46355794476153733,5.555555555555555
2011-02-14,Genesis Era (50 BTC/block),1.05,1.08,1.03,1.07,0.02,1.9047619047619064,0.05,1.0369,0.6498966666666667,0.23512565,10.071541505522871,0.1756052406070695,0.1558589685044123,75.54554928121372,False,Rise,Overbought,Medium,Above 200-MA,3.115704813971651e-06,-0.6978286012835848,0.23258132990815408,4.761904761904762
2011-02-15,Genesis Era (50 BTC/block),1.07,1.09,1.03,1.05,-0.02,-1.8691588785046744,0.06,1.055757142857143,0.6720033333333333,0.2400621499999999,10.104879350693082,0.1712257655711141,0.1589323279177527,73.15984195253559,False,Fall,Overbought,Medium,Above 200-MA,2.955925079921823e-06,-0.6978292582787079,-0.32847627020579967,5.6074766355140175
2011-02-16,Genesis Era (50 BTC/block),1.05,1.05,1.02,1.05,0.0,0.0,0.03,1.050042857142857,0.6953533333333334,0.2449729,9.810549137920033,0.1658432621603672,0.1603145147662756,73.15984195253559,False,Flat,Overbought,Low,Above 200-MA,2.955925079921823e-06,-0.6978292582787079,-0.05059396826256788,2.857142857142857
2011-02-17,Genesis Era (50 BTC/block),1.05,1.05,1.02,1.04,-0.01,-0.9523809523809532,0.03,1.0585714285714285,0.7195866666666667,0.2498674,9.470759194966364,0.1589385285803193,0.1600393175290843,71.844195085158,False,Flat,Overbought,Low,Above 200-MA,2.8760352128969087e-06,-0.6978295867762693,-0.19218161734792885,2.857142857142857
2011-02-18,Genesis Era (50 BTC/block),1.04,1.04,0.7801,0.8989,-0.1411,-13.567307692307692,0.2599,1.0341285714285715,0.7391166666666666,0.2540619,10.000646828803092,0.1404617312901925,0.156123800281306,56.42533072963919,False,Large Fall,Neutral,High,Above 200-MA,1.74878918917537e-06,-0.697834221876862,-2.0676053288627254,24.990384615384617
2011-02-19,Genesis Era (50 BTC/block),0.8989,0.98,0.8376,0.949,0.0500999999999999,5.573478696184217,0.1423999999999999,1.0154142857142858,0.7577499999999999,0.2585144,9.223378277082457,0.128381485763282,0.1505753373777012,59.73006840586557,False,Large Rise,Neutral,High,Above 200-MA,2.1490374229701895e-06,-0.6978325761040789,0.7779985648485008,15.841584158415827
2011-02-20,Genesis Era (50 BTC/block),0.949,0.949,0.83,0.85,-0.0989999999999999,-10.43203371970495,0.119,0.9868428571428572,0.7720866666666667,0.2624794,9.520639611600892,0.1095564331622747,0.1423715565346159,51.4296725729226,False,Large Fall,Neutral,High,Above 200-MA,1.3581277394235397e-06,-0.6978358282299377,-1.601493454292416,12.539515279241305
2011-02-21,Genesis Era (50 BTC/block),0.85,0.8796,0.8313,0.8345,-0.0154999999999999,-1.823529411764701,0.0483,0.9532,0.7850933333333334,0.2663469,9.538836479377244,0.0923224867294368,0.1323617425735801,50.25222315802075,False,Fall,Neutral,Medium,Above 200-MA,1.234298445534923e-06,-0.6978363374011579,-0.3216926728348316,5.682352941176471
2011-02-22,Genesis Era (50 BTC/block),0.8345,0.95,0.8313,0.8702,0.0356999999999999,4.2780107849011335,0.1186999999999999,0.9275142857142856,0.7993533333333332,0.2703864,9.52728921332374,0.0806158621825761,0.1220125664953793,52.92545037308271,False,Rise,Neutral,High,Above 200-MA,1.5195052708138662e-06,-0.6978351646648634,0.5854051960232015,14.224086279209095
2011-02-23,Genesis Era (50 BTC/block),0.8702,0.945,0.8681,0.9,0.0298,3.4245001149161167,0.0768999999999999,0.9060857142857144,0.8153566666666666,0.2745914,9.41404764320196,0.0729025140369434,0.1121905560036921,55.094618993656354,False,Rise,Neutral,High,Above 200-MA,1.7575770745481105e-06,-0.6978341857421302,0.4585162983291292,8.837048954263377
2011-02-24,Genesis Era (50 BTC/block),0.9,1.0,0.9,0.9974,0.0973999999999999,10.822222222222214,0.0999999999999999,0.9,0.8349366666666668,0.2792738999999999,9.46445339508499,0.0737982952443601,0.1045121038518257,61.36154128838388,False,Large Rise,Neutral,High,Above 200-MA,2.535704379370774e-06,-0.6978309861758812,1.5583136841774148,11.1111111111111
